# Here we compare Wehrl Entropy
# Parameters: j=100, gmx = -4.0 gmy=-12.0 eps=1 Qk=64
# Positive			LGMdiagonalizationCode		Negative
2.92942163738524505821		2.93139080668831280944		3.18373726506253751129
2.92964472199364924995		2.92981378477671384358		3.18213634769345345490
2.93126076705982919601		2.92975684147312976941		3.18278678467584431443
2.92930237440140715604		2.93235818145082454745		3.18445117196250492746
2.93086715868645627170		2.92591508695755883260		3.18466448037025563972
2.93005361046194054116		2.93520731946386157852		3.18425327233448402062
2.92988890426858572037		2.93103112118762075002		3.18369750092333437261
2.93012929447810255247		2.93050590841621304218		3.18317481609979289060
2.93041914658901789139		2.92594762666327796530		3.18299693819233191238
2.92979924737519960049		2.93239033809827934684		3.18286989964494783562		

######################################################################
# Promedio y desviación estándar
2.93007874488830566406		2.93043174743652343759		3.18347682952880859384
5.89476800758718451023E-0004	2.70156113819608765143E-0003	7.77310782519921798856E-0004	
